"","lat","lon"
"1",39.199682456,-74.998126194
"2",39.199682456,-74.997126194
"3",39.199682456,-74.996126194
"4",39.199682456,-74.995126194
"5",39.199682456,-74.994126194
"6",39.199682456,-74.993126194
"7",39.199682456,-74.992126194
"8",39.199682456,-74.991126194
"9",39.199682456,-74.990126194
"10",39.199682456,-74.989126194
"11",39.199682456,-74.988126194
"12",39.199682456,-74.987126194
"13",39.199682456,-74.986126194
"14",39.199682456,-74.985126194
"15",39.199682456,-74.984126194
"16",39.199682456,-74.983126194
"17",39.199682456,-74.982126194
"18",39.199682456,-74.981126194
"19",39.199682456,-74.980126194
"20",39.199682456,-74.979126194
"21",39.199682456,-74.978126194
"22",39.199682456,-74.977126194
"23",39.199682456,-74.976126194
"24",39.199682456,-74.975126194
"25",39.199682456,-74.974126194
"26",39.199682456,-74.973126194
"27",39.199682456,-74.972126194
"28",39.199682456,-74.971126194
"29",39.199682456,-74.970126194
"30",39.199682456,-74.969126194
"31",39.199682456,-74.968126194
"32",39.199682456,-74.967126194
"33",39.199682456,-74.966126194
"34",39.199682456,-74.965126194
"35",39.199682456,-74.964126194
"36",39.199682456,-74.963126194
"37",39.199682456,-74.962126194
"38",39.199682456,-74.961126194
"39",39.199682456,-74.960126194
"40",39.199682456,-74.959126194
"41",39.199682456,-74.958126194
"42",39.199682456,-74.957126194
"43",39.199682456,-74.956126194
"44",39.199682456,-74.955126194
"45",39.199682456,-74.954126194
"46",39.199682456,-74.953126194
"47",39.199682456,-74.952126194
"48",39.199682456,-74.951126194
"49",39.199682456,-74.950126194
"50",39.199682456,-74.949126194
"51",39.199682456,-74.948126194
"52",39.199682456,-74.947126194
"53",39.199682456,-74.946126194
"54",39.199682456,-74.945126194
"55",39.199682456,-74.944126194
"56",39.199682456,-74.943126194
"57",39.199682456,-74.942126194
"58",39.199682456,-74.941126194
"59",39.199682456,-74.940126194
"60",39.199682456,-74.939126194
"61",39.199682456,-74.938126194
"62",39.199682456,-74.937126194
"63",39.199682456,-74.936126194
"64",39.199682456,-74.935126194
"65",39.199682456,-74.934126194
"66",39.199682456,-74.933126194
"67",39.199682456,-74.932126194
"68",39.199682456,-74.931126194
"69",39.199682456,-74.930126194
"70",39.199682456,-74.929126194
"71",39.199682456,-74.928126194
"72",39.199682456,-74.927126194
"73",39.199682456,-74.926126194
"74",39.199682456,-74.925126194
"75",39.199682456,-74.924126194
"76",39.199682456,-74.923126194
"77",39.199682456,-74.922126194
"78",39.199682456,-74.921126194
"79",39.199682456,-74.920126194
"80",39.199682456,-74.919126194
"81",39.199682456,-74.918126194
"82",39.199682456,-74.917126194
"83",39.199682456,-74.916126194
"84",39.199682456,-74.915126194
"85",39.199682456,-74.914126194
"86",39.199682456,-74.913126194
"87",39.199682456,-74.912126194
"88",39.199682456,-74.911126194
"89",39.199682456,-74.910126194
"90",39.199682456,-74.909126194
"91",39.199682456,-74.908126194
"92",39.199682456,-74.907126194
"93",39.199682456,-74.906126194
"94",39.199682456,-74.905126194
"95",39.199682456,-74.904126194
"96",39.199682456,-74.903126194
"97",39.199682456,-74.902126194
"98",39.199682456,-74.901126194
"99",39.199682456,-74.900126194
"100",39.199682456,-74.899126194
"101",39.199682456,-74.898126194
"102",39.199682456,-74.897126194
"103",39.199682456,-74.896126194
"104",39.199682456,-74.895126194
"105",39.199682456,-74.894126194
"106",39.199682456,-74.893126194
"107",39.199682456,-74.892126194
"108",39.199682456,-74.891126194
"109",39.199682456,-74.890126194
"110",39.199682456,-74.889126194
"111",39.199682456,-74.888126194
"112",39.199682456,-74.887126194
"113",39.199682456,-74.886126194
"114",39.199682456,-74.885126194
"115",39.199682456,-74.884126194
"116",39.199682456,-74.883126194
"117",39.199682456,-74.882126194
"118",39.199682456,-74.881126194
"119",39.199682456,-74.880126194
"120",39.199682456,-74.879126194
"121",39.199682456,-74.878126194
"122",39.199682456,-74.877126194
"123",39.199682456,-74.876126194
"124",39.199682456,-74.875126194
"125",39.199682456,-74.874126194
"126",39.199682456,-74.873126194
"127",39.199682456,-74.872126194
"128",39.199682456,-74.871126194
"129",39.199682456,-74.870126194
"130",39.199682456,-74.869126194
"131",39.199682456,-74.868126194
"132",39.199682456,-74.867126194
"133",39.199682456,-74.866126194
"134",39.199682456,-74.865126194
"135",39.199682456,-74.864126194
"136",39.199682456,-74.863126194
"137",39.199682456,-74.862126194
"138",39.199682456,-74.861126194
"139",39.199682456,-74.860126194
"140",39.199682456,-74.859126194
"141",39.199682456,-74.858126194
"142",39.199682456,-74.857126194
"143",39.199682456,-74.856126194
"144",39.199682456,-74.855126194
"145",39.199682456,-74.854126194
"146",39.199682456,-74.853126194
"147",39.199682456,-74.852126194
"148",39.199682456,-74.851126194
"149",39.199682456,-74.850126194
"150",39.199682456,-74.849126194
"151",39.199682456,-74.848126194
"152",39.199682456,-74.847126194
"153",39.199682456,-74.846126194
"154",39.199682456,-74.845126194
"155",39.199682456,-74.844126194
"156",39.199682456,-74.843126194
"157",39.199682456,-74.842126194
"158",39.199682456,-74.841126194
"159",39.199682456,-74.840126194
"160",39.199682456,-74.839126194
"161",39.199682456,-74.838126194
"162",39.199682456,-74.837126194
"163",39.199682456,-74.836126194
"164",39.199682456,-74.835126194
"165",39.199682456,-74.834126194
"166",39.199682456,-74.833126194
"167",39.199682456,-74.832126194
"168",39.199682456,-74.831126194
"169",39.199682456,-74.830126194
"170",39.199682456,-74.829126194
"171",39.199682456,-74.828126194
"172",39.199682456,-74.827126194
"173",39.199682456,-74.826126194
"174",39.199682456,-74.825126194
"175",39.199682456,-74.824126194
"176",39.199682456,-74.823126194
"177",39.199682456,-74.822126194
"178",39.199682456,-74.821126194
"179",39.199682456,-74.820126194
"180",39.199682456,-74.819126194
"181",39.199682456,-74.818126194
"182",39.199682456,-74.817126194
"183",39.199682456,-74.816126194
"184",39.199682456,-74.815126194
"185",39.199682456,-74.814126194
"186",39.199682456,-74.813126194
"187",39.199682456,-74.812126194
"188",39.199682456,-74.811126194
"189",39.199682456,-74.810126194
"190",39.199682456,-74.809126194
"191",39.199682456,-74.808126194
"192",39.199682456,-74.807126194
"193",39.199682456,-74.806126194
"194",39.199682456,-74.805126194
"195",39.199682456,-74.804126194
"196",39.199682456,-74.803126194
"197",39.199682456,-74.802126194
"198",39.199682456,-74.801126194
"199",39.199682456,-74.800126194
